CompanyId,CompanyName,Followers,CurrentStockPrice,CurrentGrowthRate,PredictedStockPrice,PredictedGrowthRate,,,,,,,
A,Agilent Technologies Inc. Common Stock,27,128.96,-2.525%,128.96,-2.525%,,,,,,,
AAL,American Airlines Group Inc. Common Stock,33,13.99,2.117%,13.99,2.117%,,,,,,,
AAON,AAON Inc. Common Stock,17,56.34,0.018%,56.34,0.018%,,,,,,,
AAP,Advance Auto Parts Inc.,82,171.25,-1.992%,171.25,-1.992%,,,,,,,
AAPL,Apple Inc. Common Stock,46,143.86,0.077%,143.86,0.077%,,,,,,,
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,11,100.46,0.561%,100.46,0.561%,,,,,,,
AB,AllianceBernstein Holding L.P.  Units,17,34.1,-1.159%,34.1,-1.159%,,,,,,,
ABBV,AbbVie Inc. Common Stock,45,143.13,-1.017%,143.13,-1.017%,,,,,,,
ABC,AmerisourceBergen Corporation Common Stock,49,142.99,-0.694%,142.99,-0.694%,,,,,,,
ABCB,Ameris Bancorp Common Stock,33,49.71,-1.271%,49.71,-1.271%,,,,,,,
ABG,Asbury Automotive Group Inc Common Stock,72,147.48,-7.245%,147.48,-7.245%,,,,,,,
ABM,ABM Industries Incorporated Common Stock,26,41.5,-0.527%,41.5,-0.527%,,,,,,,
ABMD,ABIOMED Inc. Common Stock,48,253.24,-2.288%,253.24,-2.288%,,,,,,,
ABNB,Airbnb Inc. Class A Common Stock,44,116.87,-0.907%,116.87,-0.907%,,,,,,,
ABR,Arbor Realty Trust Common Stock,4,12.4,-1.038%,12.4,-1.038%,,,,,,,
ABT,Abbott Laboratories Common Stock,83,98.11,-6.544%,98.11,-6.544%,,,,,,,
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,26,15.6,-2.682%,15.6,-2.682%,,,,,,,
ACHC,Acadia Healthcare Company Inc. Common Stock,60,80.59,-2.646%,80.59,-2.646%,,,,,,,
ACI,Albertsons Companies Inc. Class A Common Stock,61,27.2,1.72%,27.2,1.72%,,,,,,,
ACIW,ACI Worldwide Inc. Common Stock,92,22.12,-1.338%,22.12,-1.338%,,,,,,,
ACM,AECOM Common Stock,58,72.19,0.014%,72.19,0.014%,,,,,,,
ACT,Enact Holdings Inc. Common Stock,38,23.9,-0.83%,23.9,-0.83%,,,,,,,
ADBE,Adobe Inc. Common Stock,70,299.83,2.338%,299.83,2.338%,,,,,,,
ADC,Agree Realty Corporation Common Stock,16,64.6,-1.749%,64.6,-1.749%,,,,,,,
ADI,Analog Devices Inc. Common Stock,1,141.33,0.163%,141.33,0.163%,,,,,,,
ADM,Archer-Daniels-Midland Company Common Stock,37,88.35,0.661%,88.35,0.661%,,,,,,,
ADP,Automatic Data Processing Inc. Common Stock,32,233.24,-0.757%,233.24,-0.757%,,,,,,,
ADSK,Autodesk Inc. Common Stock,37,197.02,-1.834%,197.02,-1.834%,,,,,,,
ADT,ADT Inc. Common Stock,43,8.6,0.233%,8.6,0.233%,,,,,,,
AEE,Ameren Corporation Common Stock,35,78.56,-1.008%,78.56,-1.008%,,,,,,,
AEIS,Advanced Energy Industries Inc. Common Stock,8,71.26,-0.586%,71.26,-0.586%,,,,,,,
AEL,American Equity Investment Life Holding Company Common Stock,68,40.53,-0.832%,40.53,-0.832%,,,,,,,
AEP,American Electric Power Company Inc. Common Stock,40,85.9,-0.785%,85.9,-0.785%,,,,,,,
AES,The AES Corporation Common Stock,98,24.13,-1.107%,24.13,-1.107%,,,,,,,
AFG,American Financial Group Inc. Common Stock,64,131.48,-0.379%,131.48,-0.379%,,,,,,,
AFL,AFLAC Incorporated Common Stock,17,60.14,-0.083%,60.14,-0.083%,,,,,,,
AFRM,Affirm Holdings Inc. Class A Common Stock,20,17.91,-8.295%,17.91,-8.295%,,,,,,,
AGCO,AGCO Corporation Common Stock,31,111.41,-0.651%,111.41,-0.651%,,,,,,,
AGNC,AGNC Investment Corp. Common Stock,98,7.91,-2.225%,7.91,-2.225%,,,,,,,
AGR,Avangrid Inc. Common Stock,66,39.67,-2.001%,39.67,-2.001%,,,,,,,
AHCO,AdaptHealth Corp. Common Stock,88,20.83,-2.344%,20.83,-2.344%,,,,,,,
AIG,American International Group Inc. New Common Stock,5,52.75,0.285%,52.75,0.285%,,,,,,,
AIMC,Altra Industrial Motion Corp. Common Stock,76,37.35,-1.399%,37.35,-1.399%,,,,,,,
AIN,Albany International Corporation Common Stock,2,87.09,-0.537%,87.09,-0.537%,,,,,,,
AIT,Applied Industrial Technologies Inc. Common Stock,57,111.49,-0.677%,111.49,-0.677%,,,,,,,
AIZ,Assurant Inc. Common Stock,43,151.99,-1.58%,151.99,-1.58%,,,,,,,
AJG,Arthur J. Gallagher & Co. Common Stock,87,178.05,1.084%,178.05,1.084%,,,,,,,
AJRD,Aerojet Rocketdyne Holdings Inc. Common Stock,24,43.46,2.187%,43.46,2.187%,,,,,,,
AKAM,Akamai Technologies Inc. Common Stock,57,82.94,-1.707%,82.94,-1.707%,,,,,,,
AL,Air Lease Corporation Class A Common Stock,75,32.74,-1.859%,32.74,-1.859%,,,,,,,
ALB,Albemarle Corporation Common Stock,70,256.51,1.923%,256.51,1.923%,,,,,,,
ALE,Allete Inc.,5,51.53,-0.999%,51.53,-0.999%,,,,,,,
ALGM,Allegro MicroSystems Inc. Common Stock,95,20.92,-1.507%,20.92,-1.507%,,,,,,,
ALGN,Align Technology Inc. Common Stock,44,204.98,-2.39%,204.98,-2.39%,,,,,,,
ALHC,Alignment Healthcare Inc. Common Stock,77,11.17,-1.586%,11.17,-1.586%,,,,,,,
ALK,Alaska Air Group Inc. Common Stock,81,41.85,-1.157%,41.85,-1.157%,,,,,,,
ALL,Allstate Corporation (The) Common Stock,98,135.15,-1.623%,135.15,-1.623%,,,,,,,
ALLE,Allegion plc Ordinary Shares,68,92.11,-3.225%,92.11,-3.225%,,,,,,,
ALLY,Ally Financial Inc. Common Stock,21,26.43,-7.941%,26.43,-7.941%,,,,,,,
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,41,192,-1.056%,192,-1.056%,,,,,,,
ALRM,Alarm.com Holdings Inc. Common Stock,38,63.42,-1.045%,63.42,-1.045%,,,,,,,
ALSN,Allison Transmission Holdings Inc. Common Stock,16,36.74,-0.73%,36.74,-0.73%,,,,,,,
ALTR,Altair Engineering Inc. Class A Common Stock,27,45.4,-1.369%,45.4,-1.369%,,,,,,,
AM,Antero Midstream Corporation Common Stock,64,10.36,1.172%,10.36,1.172%,,,,,,,
AMAT,Applied Materials Inc. Common Stock,39,77.26,2.698%,77.26,2.698%,,,,,,,
AMD,Advanced Micro Devices Inc. Common Stock,98,57.23,-1.191%,57.23,-1.191%,,,,,,,
AME,AMETEK Inc.,96,117.99,-0.949%,117.99,-0.949%,,,,,,,
AMED,Amedisys Inc Common Stock,17,96.93,-2.249%,96.93,-2.249%,,,,,,,
AMG,Affiliated Managers Group Inc. Common Stock,81,117.8,-1.801%,117.8,-1.801%,,,,,,,
AMGN,Amgen Inc. Common Stock,88,248.19,-1.559%,248.19,-1.559%,,,,,,,
AMKR,Amkor Technology Inc. Common Stock,92,18.37,1.604%,18.37,1.604%,,,,,,,
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,21,35.71,-1.408%,35.71,-1.408%,,,,,,,
AMN,AMN Healthcare Services Inc AMN Healthcare Services Inc,25,109.5,-5.285%,109.5,-5.285%,,,,,,,
AMP,Ameriprise Financial Inc. Common Stock,12,264.3,-1.568%,264.3,-1.568%,,,,,,,
AMR,Alpha Metallurgical Resources Inc. Common Stock,13,151.1,-2.289%,151.1,-2.289%,,,,,,,
AMRC,Ameresco Inc. Class A Common Stock,99,60.52,-3.538%,60.52,-3.538%,,,,,,,
AMT,American Tower Corporation (REIT) Common Stock,66,190.99,-3.159%,190.99,-3.159%,,,,,,,
AMZN,Amazon.com Inc. Common Stock,52,115.07,-1.109%,115.07,-1.109%,,,,,,,
AN,AutoNation Inc. Common Stock,80,97.65,-4.358%,97.65,-4.358%,,,,,,,
ANSS,ANSYS Inc. Common Stock,77,214.19,-1.272%,214.19,-1.272%,,,,,,,
AON,Aon plc Class A Ordinary Shares (Ireland),75,280.93,0.214%,280.93,0.214%,,,,,,,
AOS,A.O. Smith Corporation Common Stock,71,50.77,-1.913%,50.77,-1.913%,,,,,,,
APA,APA Corporation Common Stock,47,41.91,5.249%,41.91,5.249%,,,,,,,
APD,Air Products and Chemicals Inc. Common Stock,79,241.45,-0.38%,241.45,-0.38%,,,,,,,
APH,Amphenol Corporation Common Stock,36,70.09,0.029%,70.09,0.029%,,,,,,,
APLE,Apple Hospitality REIT Inc. Common Shares,92,16.1,0.00%,16.1,0.00%,,,,,,,
APLS,Apellis Pharmaceuticals Inc. Common Stock,84,57.09,-3.237%,57.09,-3.237%,,,,,,,
APP,Applovin Corporation Class A Common Stock,27,17.44,-6.388%,17.44,-6.388%,,,,,,,
APPF,AppFolio Inc. Class A Common Stock,87,102.21,-2.629%,102.21,-2.629%,,,,,,,
APPN,Appian Corporation Class A Common Stock,51,40.45,-2.951%,40.45,-2.951%,,,,,,,
AQUA,Evoqua Water Technologies Corp. Common Stock,60,35.66,-0.196%,35.66,-0.196%,,,,,,,
ARCC,Ares Capital Corporation Common Stock,98,17.87,-1.052%,17.87,-1.052%,,,,,,,
ARCH,Arch Resources Inc. Class A Common Stock,8,136.89,-2.729%,136.89,-2.729%,,,,,,,
ARE,Alexandria Real Estate Equities Inc. Common Stock,29,130.59,-2.37%,130.59,-2.37%,,,,,,,
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,4,22.64,-1.651%,22.64,-1.651%,,,,,,,
ARRY,Array Technologies Inc. Common Stock,50,14.61,-4.883%,14.61,-4.883%,,,,,,,
ARVN,Arvinas Inc. Common Stock,84,43.08,-7.335%,43.08,-7.335%,,,,,,,
ARW,Arrow Electronics Inc. Common Stock,92,95.8,-0.643%,95.8,-0.643%,,,,,,,
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,43,32.38,-7.723%,32.38,-7.723%,,,,,,,
ASB,Associated Banc-Corp Common Stock,64,21.95,-0.679%,21.95,-0.679%,,,,,,,
ASGN,ASGN Incorporated Common Stock,46,96.67,-1.618%,96.67,-1.618%,,,,,,,
ASH,Ashland Inc. Common Stock,24,98.53,-2.233%,98.53,-2.233%,,,,,,,
ASO,Academy Sports and Outdoors Inc. Common Stock,24,43.37,-4.492%,43.37,-4.492%,,,,,,,
ATI,ATI Inc. Common Stock,51,28.49,0.035%,28.49,0.035%,,,,,,,
ATKR,Atkore Inc. Common Stock,28,87.89,-3.471%,87.89,-3.471%,,,,,,,
ATO,Atmos Energy Corporation Common Stock,52,102.04,0.285%,102.04,0.285%,,,,,,,
ATR,AptarGroup Inc. Common Stock,96,98.21,-1.078%,98.21,-1.078%,,,,,,,
ATSG,Air Transport Services Group Inc,5,28.64,0.632%,28.64,0.632%,,,,,,,
ATUS,Altice USA Inc. Class A Common Stock,67,5.55,-2.46%,5.55,-2.46%,,,,,,,
ATVI,Activision Blizzard Inc. Common Stock,49,72.21,-0.069%,72.21,-0.069%,,,,,,,
